chapterId,title,moduleId,effectiveOrder,sourceKind,sourcePath,prerequisiteChapterIds,conceptIds,wordCount,exercises,quizzes,projects,resources,declaredAuditStatus,depthReviewed,resourcesAuditedForRelevance,dependenciesValidated,status,flags
"jdbc","JDBC & banco de dados","relational-data-jdbc","62","legacy-html-generated-metadata","platform/public/content/chapters/jdbc.html","sql|excecoes","conexao-statement-e-resultset|insert-update-delete|transacoes-commit-rollback-e-por-que-autocommit-true-engana|batch-agrupando-varias-operacoes-em-uma-unica-viagem-de-rede|chaves-geradas-recuperando-o-id-gerado-pelo-banco-apos-um-insert|wasnull-distinguindo-zero-de-null|sqlexception-sqlstate-codigo-do-fornecedor-e-traducao|connection-pool-por-que-ninguem-abre-conexao-crua-em-producao|mapeando-resultset-para-objetos-o-embriao-do-orm|testando-jdbc-de-verdade-banco-real-nao-simulado","2104","2","1","0","2","approved","false","true","true","aprovado",""
"mini-financas-jdbc","Mini-projeto: finanças pessoais com PostgreSQL","relational-data-jdbc","63","legacy-html-generated-metadata","platform/public/content/chapters/mini-financas-jdbc.html","jdbc|postgres|migrations","requisitos|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","565","0","2","1","2","approved","false","true","true","aprovado",""
"spring-core","Spring Core — IoC/DI oficial","spring-api","74","legacy-html-generated-metadata","platform/public/content/chapters/spring-core.html","projetospring|build","de-componente-injetar-para-as-anotacoes-reais-do-spring|as-especializacoes-de-component-e-por-que-existem|escopos-de-bean|configuration-e-bean-quando-voce-nao-controla-a-classe|como-o-container-realmente-resolve-e-cria-beans","1171","1","1","0","2","approved","false","true","true","aprovado",""
"spring-boot-fundamentos","Spring Boot por dentro: bootstrap, auto-configuração e configuração tipada","spring-api","75","legacy-html-generated-metadata","platform/public/content/chapters/spring-boot-fundamentos.html","spring-core|build","o-que-acontece-quando-a-aplicacao-inicia|auto-configuracao-nao-e-magica-e-uma-classe-configuration-com-condicoes|laboratorio-descobrindo-auto-configuracao-de-verdade-nao-so-ouvindo-fala|configuracao-tipada|property-sources-e-a-ordem-de-precedencia|logging-inicial-e-encerramento-gracioso|starters-e-versoes","1500","2","1","0","2","approved","false","true","true","aprovado",""
"devtools","Spring Boot DevTools","spring-api","76","legacy-html-generated-metadata","platform/public/content/chapters/devtools.html","spring-boot-fundamentos","por-que-o-restart-do-devtools-e-rapido-dois-classloaders-nao-um","877","1","1","0","2","approved","false","true","true","aprovado",""
"lombok","Lombok — eliminando boilerplate","spring-api","77","legacy-html-generated-metadata","platform/public/content/chapters/lombok.html","encapsulamento|anotacoes|spring-core","instalando-maven-gradle-e-o-annotation-processor|anotacoes-mais-usadas|delombok-vendo-o-codigo-real-que-o-lombok-gera|lombok-config-regras-de-projeto-para-o-lombok","1512","2","1","0","2","approved","false","true","true","aprovado",""
"spring-mvc","Spring Web / MVC — controllers REST","spring-api","78","legacy-html-generated-metadata","platform/public/content/chapters/spring-mvc.html","spring-boot-fundamentos|http-wire-contract|java-httpclient-json","o-que-acontece-antes-do-seu-controller-dispatcherservlet|tratamento-de-excecao-quem-decide-a-resposta-de-erro|multipart-recebendo-arquivos|testando-de-verdade-webmvctest-e-mockmvc","1598","2","1","0","2","approved","false","true","true","aprovado",""
"spring-jpa","Spring Data JPA — repositories & relacionamentos","spring-api","79","legacy-html-generated-metadata","platform/public/content/chapters/spring-jpa.html","jdbc|spring-mvc|lombok","entity-mapeando-classe-java-para-tabela|jparepository-implementacao-gerada-por-proxy-nao-magica|query-quando-o-nome-do-metodo-nao-basta|relacionamentos-onetomany-manytoone-manytomany|igualdade-de-entidade-por-que-equals-hashcode-aqui-e-traicoeiro","1284","1","1","0","2","approved","false","true","true","aprovado",""
"jpa-transacoes","JPA profundo e transações Spring","spring-api","80","legacy-html-generated-metadata","platform/public/content/chapters/jpa-transacoes.html","spring-jpa|migrations","o-mapa-minimo-entre-objetos-e-banco|flush-nao-e-commit|propagacao-isolamento-e-rollback|requires-new-e-nested-com-exemplo-e-limite-real|deadlock-e-lost-update-as-duas-falhas-de-concorrencia-que-todo-sistema-c|por-que-uma-chamada-http-externa-dentro-de-uma-transacao-e-um-problema-r|testando-concorrencia-de-verdade|o-limite-do-proxy|relacionamentos-e-igualdade","1427","1","1","0","2","approved","false","true","true","aprovado",""
"dto-mapping","DTO Mapping — Entity ≠ DTO","spring-api","81","legacy-html-generated-metadata","platform/public/content/chapters/dto-mapping.html","spring-mvc|spring-jpa","mapeamento-manual-entenda-antes-de-automatizar|mapstruct-automatizando-o-boilerplate-obvio","776","1","1","0","2","approved","false","true","true","aprovado",""
"validacao-erros","Bean Validation & tratamento global de erros","spring-api","82","legacy-html-generated-metadata","platform/public/content/chapters/validacao-erros.html","dto-mapping|excecoes","bean-validation-seu-naonulo-oficial|controlleradvice-centralizando-o-tratamento-de-erro","803","1","1","0","2","approved","false","true","true","aprovado",""
"paginacao-swagger","Paginação, filtros & documentação com Swagger","spring-api","83","legacy-html-generated-metadata","platform/public/content/chapters/paginacao-swagger.html","validacao-erros|spring-jpa","swagger-openapi-documentacao-que-se-atualiza-sozinha","591","1","1","0","2","approved","false","true","true","aprovado",""
"api-design-avancado","Contratos HTTP: idempotência, concorrência e evolução de APIs","spring-api","84","legacy-html-generated-metadata","platform/public/content/chapters/api-design-avancado.html","paginacao-swagger|jpa-transacoes","a-requisicao-como-contrato-completo|problem-details|idempotencia-e-concorrencia-otimista-http|paginacao-e-evolucao","581","1","1","0","2","approved","false","true","true","aprovado",""
"n-mais-1","O problema N+1","spring-api","85","legacy-html-generated-metadata","platform/public/content/chapters/n-mais-1.html","spring-jpa|paginacao-swagger","enxergando-o-problema-com-explain-e-logs|batch-fetching-quando-lazy-sozinho-ainda-e-lento-demais|n-1-paginacao-por-que-join-fetch-de-uma-colecao-quebra-o-pageable","1182","1","1","0","2","approved","false","true","true","aprovado",""
"cors-rate-limit","CORS & rate limiting","spring-api","86","legacy-html-generated-metadata","platform/public/content/chapters/cors-rate-limit.html","spring-mvc|api-design-avancado","cors-por-que-o-navegador-bloqueia-sua-propria-api|configurando-cors-no-spring|o-preflight-a-requisicao-options-que-o-navegador-manda-sozinho|rate-limiting-primeira-linha-de-defesa-contra-abuso","962","1","1","0","2","approved","false","true","true","aprovado",""
"mini-helpdesk-api","Mini-projeto: API de help desk com Spring","spring-api","87","legacy-html-generated-metadata","platform/public/content/chapters/mini-helpdesk-api.html","cors-rate-limit|n-mais-1|validacao-erros","contrato|regras-minimas|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","626","0","2","1","2","approved","false","true","true","aprovado",""
"testes","Testes unitários","testing-engineering","49","legacy-html-generated-metadata","platform/public/content/chapters/testes.html","logging","anatomia-de-um-teste-junit-5|principais-assertions|beforeeach-aftereach-e-ciclo-de-vida|testes-parametrizados-um-teste-varios-cenarios|mocks-isolando-dependencias|tdd-test-driven-development-em-3-passos","1077","2","1","0","2","approved","false","true","true","aprovado",""
"mockito","Mockito — Mocks & Dublês de Teste","testing-engineering","50","legacy-html-generated-metadata","platform/public/content/chapters/mockito.html","testes|interfaces","o-vocabulario-completo-de-dubles-de-teste|mock-injectmocks-e-a-anotacao-que-dispara-tudo|when-thenreturn-programando-o-comportamento-do-mock|verify-confirmando-interacoes-nao-so-valores-de-retorno","1000","1","1","0","2","approved","false","true","true","aprovado",""
"mini-reservas-testadas","Mini-projeto: motor de reservas guiado por testes","testing-engineering","51","legacy-html-generated-metadata","platform/public/content/chapters/mini-reservas-testadas.html","mockito|testes|colecoes|encapsulamento","matriz-minima|checkpoint-antes-de-concluir|execucao-guiada-e-evidencias","635","0","2","1","2","approved","false","true","true","aprovado",""
"projeto","Projeto final — sistema de biblioteca","testing-engineering","52","legacy-html-generated-metadata","platform/public/content/chapters/projeto.html","mini-biblioteca-cli|colecoes|java-io|mini-reservas-testadas","execucao-guiada-e-evidencias","1041","1","1","1","2","approved","false","true","true","aprovado",""
"autenticacao-conceitos","Autenticação: sessão vs JWT vs OAuth2","api-security-quality","89","legacy-html-generated-metadata","platform/public/content/chapters/autenticacao-conceitos.html","http|json|anotacoes","sessao-tradicional-cookie-estado-no-servidor|jwt-json-web-token-o-token-que-carrega-a-propria-informacao|oauth2-delegando-autorizacao-para-terceiros","1108","1","1","0","2","approved","false","true","true","aprovado",""
"spring-security","Spring Security na prática","api-security-quality","90","legacy-html-generated-metadata","platform/public/content/chapters/spring-security.html","autenticacao-conceitos|spring-mvc|anotacoes","anatomia-real-da-requisicao-ao-securitycontext|userdetailsservice-e-daoauthenticationprovider-o-login-de-verdade|emitindo-e-validando-o-jwt-com-resource-server-caminho-recomendado|laboratorio-avancado-escrevendo-seu-proprio-filtro-jwt|autorizacao-com-preauthorize-agora-com-method-security-habilitada|codificando-senhas-nunca-em-texto-puro|csrf-a-pergunta-certa-antes-de-desabilitar|401-vs-403-authenticationentrypoint-e-accessdeniedhandler|sessao-fixacao-e-logout-mesmo-numa-aplicacao-majoritariamente-stateless|testando-seguranca-spring-security-test-e-mockmvc","3066","2","1","0","2","approved","false","true","true","aprovado",""
