chapterId,title,module,prerequisites,baseline,contentSource,requiredTopics,coveredTopics,examples,runnableExamples,exercises,diagnostics,projects,primarySources,factualReview,pedagogicalReview,finalStatus
"encapsulamento","Encapsulamento","oop-modeling","construtores","java21-springboot35","legacy-html","0","0","3","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"static","static, final e this","oop-modeling","encapsulamento","java21-springboot35","legacy-html","0","0","3","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"heranca","Herança","oop-modeling","static","java21-springboot35","legacy-html","0","0","3","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"polimorfismo","Polimorfismo","oop-modeling","heranca","java21-springboot35","legacy-html","0","0","3","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"abstracao","Classes abstratas","oop-modeling","polimorfismo","java21-springboot35","legacy-html","0","0","2","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"interfaces","Interfaces","oop-modeling","abstracao","java21-springboot35","legacy-html","0","0","2","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"pilares-profundo","Os 4 Pilares da POO — Aprofundamento Unificado","oop-modeling","interfaces","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"associacoes-cardinalidade","Associações, cardinalidade e invariantes entre objetos","oop-modeling","pilares-profundo","java21-springboot35","structured-typescript","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-biblioteca-cli","Mini-projeto: biblioteca orientada a objetos","oop-modeling","associacoes-cardinalidade","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"pacotes","Pacotes & organização de projeto","java-core","mini-biblioteca-cli","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"excecoes","Exceções","java-core","pacotes","java21-springboot35","legacy-html","0","0","4","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"colecoes","Coleções & ArrayList","java-core","excecoes","java21-springboot35","legacy-html","0","0","5","0","3","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"generics","Generics","java-core","colecoes","java21-springboot35","legacy-html","0","0","5","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"streams","Lambdas & Streams","java-core","generics","java21-springboot35","legacy-html","0","0","4","0","2","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"javamoderno","Java moderno: Optional, var, Date/Time","java-core","streams","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"functional-semantics-lab","Optional, lambdas, Set e Streams por semântica","java-core","javamoderno","java21-springboot35","structured-typescript","0","0","0","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"jvm-profundo","JVM, Bytecode e Gerenciamento de Memória — Aprofundamento","java-core","functional-semantics-lab","java21-springboot35","legacy-html","0","0","4","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"java-21-profundo","Java 21: records, sealed types, pattern matching e virtual threads","java-core","jvm-profundo","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"java-io","Arquivos, Paths e Java I/O","io-cli-serialization","java-21-profundo","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-analisador-vendas","Mini-projeto: analisador de vendas com Streams","io-cli-serialization","java-io","java21-springboot35","legacy-html","0","0","1","0","0","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"json","JSON & serialização","io-cli-serialization","mini-analisador-vendas","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"process-api-cli","Process API: executando programas externos com segurança","io-cli-serialization","json","java21-springboot35","structured-typescript","0","0","1","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-importador-pedidos","Mini-projeto: importador de pedidos","io-cli-serialization","process-api-cli|json","java21-springboot35","legacy-html","0","0","1","0","0","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"zenith-cli-inicial","Projeto Zenith inicial: assistente CLI determinístico","io-cli-serialization","mini-importador-pedidos","java21-springboot35","structured-typescript","0","0","1","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"big-o","Complexidade de Algoritmos (Big O)","algorithms-data-structures","zenith-cli-inicial","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"recursao","Recursão","algorithms-data-structures","big-o","java21-springboot35","legacy-html","0","0","3","0","2","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"ordenacao-busca","Algoritmos de Ordenação & Busca","algorithms-data-structures","recursao","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"algoritmos-praticos","Estruturas e algoritmos essenciais na prática","algorithms-data-structures","ordenacao-busca","java21-springboot35","legacy-html","0","0","1","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"estruturas-avancadas","Estruturas de Dados Avançadas","algorithms-data-structures","big-o|recursao|colecoes","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"git","Git & fluxo de trabalho","testing-engineering","zenith-cli-inicial","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"build","Maven & Gradle","testing-engineering","git","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"debugging","Técnicas de Debugging na Prática","testing-engineering","build","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"logging","Logging & configuração externa","testing-engineering","debugging","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"testes","Testes unitários","testing-engineering","logging","java21-springboot35","legacy-html","0","0","5","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mockito","Mockito — Mocks & Dublês de Teste","testing-engineering","testes|interfaces","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-reservas-testadas","Mini-projeto: motor de reservas guiado por testes","testing-engineering","mockito|testes|colecoes|encapsulamento","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"projeto","Projeto final — sistema de biblioteca","testing-engineering","mini-biblioteca-cli|colecoes|java-io|mini-reservas-testadas","java21-springboot35","legacy-html","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"http","HTTP & APIs REST","http-api-clients","testes|json","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"http-wire-contract","HTTP no fio: request, response e semântica","http-api-clients","http","java21-springboot35","structured-typescript","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"java-httpclient-json","Java HttpClient e JSON sem framework web","http-api-clients","http-wire-contract|json|excecoes","java21-springboot35","structured-typescript","0","0","1","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"unreliable-api-client","APIs externas falham: timeout, retry, limites e secrets","http-api-clients","java-httpclient-json","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"pure-java-api-project","Projeto: integração entre APIs em Java puro","http-api-clients","unreliable-api-client|testes","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"sql","SQL — fundamentos de banco relacional","relational-data-jdbc","colecoes","java21-springboot35","legacy-html","0","0","6","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"postgres","PostgreSQL na prática","relational-data-jdbc","sql","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"postgres-concorrencia","PostgreSQL avançado: planos, MVCC, isolamento e locks","relational-data-jdbc","postgres|sql","java21-springboot35","legacy-html","0","0","3","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"migrations","Migrations — versionando o schema","relational-data-jdbc","postgres|git","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"jdbc","JDBC & banco de dados","relational-data-jdbc","sql|excecoes","java21-springboot35","legacy-html","0","0","4","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-financas-jdbc","Mini-projeto: finanças pessoais com PostgreSQL","relational-data-jdbc","jdbc|postgres|migrations","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"jdbc-under-the-hood","JDBC por baixo do CRUD","relational-data-jdbc","jdbc|mini-financas-jdbc","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"anotacoes","Anotações & Reflection","application-design","build","java21-springboot35","legacy-html","0","0","6","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"solid","SOLID & boas práticas","application-design","interfaces|abstracao","java21-springboot35","legacy-html","0","0","6","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"di","Injeção de dependência (na mão)","application-design","javamoderno|solid|anotacoes","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"padroes","Padrões de projeto essenciais","application-design","di","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"clean-code","Clean Code & Refatoração","application-design","solid|padroes","java21-springboot35","legacy-html","0","0","1","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"projetospring","Projeto final — mini-framework pré-Spring","application-design","anotacoes|di|padroes|clean-code","java21-springboot35","legacy-html","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"di-ioc-profundo","Injeção de Dependência, IoC & Ciclo de Vida de Beans — Aprofundamento","application-design","di|anotacoes|projetospring","java21-springboot35","legacy-html","0","0","4","0","1","1","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"arquitetura-software","Arquitetura de Software","application-design","clean-code|projetospring|mini-financas-jdbc|pure-java-api-project","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"ddd","Domain-Driven Design (DDD)","application-design","arquitetura-software|encapsulamento|mini-financas-jdbc","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-core","Spring Core — IoC/DI oficial","spring-api","projetospring|build","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-boot-fundamentos","Spring Boot por dentro: bootstrap, auto-configuração e configuração tipada","spring-api","spring-core|build","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"devtools","Spring Boot DevTools","spring-api","spring-boot-fundamentos","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"lombok","Lombok — eliminando boilerplate","spring-api","encapsulamento|anotacoes|spring-core","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-mvc","Spring Web / MVC — controllers REST","spring-api","spring-boot-fundamentos|http-wire-contract|java-httpclient-json","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-jpa","Spring Data JPA — repositories & relacionamentos","spring-api","jdbc|spring-mvc|lombok","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"jpa-transacoes","JPA profundo e transações Spring","spring-api","spring-jpa|migrations","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"dto-mapping","DTO Mapping — Entity ≠ DTO","spring-api","spring-mvc|spring-jpa","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"validacao-erros","Bean Validation & tratamento global de erros","spring-api","dto-mapping|excecoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"paginacao-swagger","Paginação, filtros & documentação com Swagger","spring-api","validacao-erros|spring-jpa","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"api-design-avancado","Contratos HTTP: idempotência, concorrência e evolução de APIs","spring-api","paginacao-swagger|jpa-transacoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"n-mais-1","O problema N+1","spring-api","spring-jpa|paginacao-swagger","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"cors-rate-limit","CORS & rate limiting","spring-api","spring-mvc|api-design-avancado","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-helpdesk-api","Mini-projeto: API de help desk com Spring","spring-api","cors-rate-limit|n-mais-1|validacao-erros","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"rest-resource-contracts","REST: recursos, DTOs, validação e erros","spring-api","pure-java-api-project|spring-mvc","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"autenticacao-conceitos","Autenticação: sessão vs JWT vs OAuth2","api-security-quality","http|json|anotacoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-security","Spring Security na prática","api-security-quality","autenticacao-conceitos|spring-mvc|anotacoes","java21-springboot35","legacy-html","0","0","4","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"security-oidc","OAuth 2.0, OpenID Connect e Resource Server seguros","api-security-quality","spring-security|http","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"https","HTTPS & certificados","api-security-quality","autenticacao-conceitos","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-auth-rbac","Mini-projeto: autenticação e autorização por papéis","api-security-quality","spring-security|security-oidc|https","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"auth-front-ts","Autenticação no front & pincelada de TypeScript","api-security-quality","mini-auth-rbac|autenticacao-conceitos","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"frontend-aplicacao","Front-end aplicado: estado, formulários, acessibilidade e testes","api-security-quality","auth-front-ts|api-design-avancado","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"api-contract-evolution","OpenAPI, testes e evolução de contratos","api-security-quality","rest-resource-contracts|paginacao-swagger","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"docker-conceitos","Docker — conceitos & instalação","containers-integration-data","git|build","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"dockerfile","Dockerfile & multi-stage build","containers-integration-data","docker-conceitos|build","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"compose","Docker Compose — app + banco juntos","containers-integration-data","dockerfile","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"testcontainers","Testcontainers & banco de teste isolado","containers-integration-data","testes|docker-conceitos|spring-jpa","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"estrategia-testes","Estratégia de testes: slices, contratos, concorrência e qualidade","containers-integration-data","testcontainers|mockito|api-contract-evolution","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"nosql","NoSQL — conceitos & quando usar","containers-integration-data","sql|json","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mongodb","MongoDB na prática","containers-integration-data","nosql|docker-conceitos","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"redis","Redis — cache & estruturas em memória","containers-integration-data","nosql|colecoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"nosql-operacional","MongoDB e Redis operacionais: índices, consistência, persistência e escala","containers-integration-data","mongodb|redis","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"hospedagem-db","Onde hospedar o banco: dev, teste & produção","containers-integration-data","postgres|compose|testcontainers|nosql-operacional","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"threads","Threads & concorrência","concurrency-network-tui","streams","java21-springboot35","legacy-html","0","0","4","0","2","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"concorrencia-profunda","Concorrência, Threads, Race Conditions & Assíncrono — Aprofundamento","concurrency-network-tui","threads|jvm-profundo","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"websockets","WebSockets — quando HTTP não basta","concurrency-network-tui","frontend-aplicacao|threads|spring-mvc","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"tcp-protocol-design","Sockets TCP e desenho de protocolo","concurrency-network-tui","java-io|threads","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"lanterna-tui","Lanterna: uma TUI real em Java","concurrency-network-tui","java-io|interfaces|threads","java21-springboot35","structured-typescript","0","0","1","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"developer-tools-java","Ferramentas para desenvolvedores em Java","concurrency-network-tui","java-io|build|logging","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"secrets","Variáveis de ambiente & secrets em produção","production-delivery","logging|git|spring-security|unreliable-api-client","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"cicd","CI/CD com GitHub Actions","production-delivery","git|testcontainers|dockerfile|estrategia-testes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"praticas-producao","Práticas de produção: parity, backup, feature flags & versionamento","production-delivery","hospedagem-db|http|cicd|compose","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"hardening-producao","Hardening, entrega segura e recuperação operacional","production-delivery","dockerfile|cicd|praticas-producao|logging","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"deploy-backend","Deploy do back-end em produção","production-delivery","dockerfile|secrets|hospedagem-db|cicd|hardening-producao","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-profiles","Spring Profiles avançado","production-delivery","logging|praticas-producao|spring-boot-fundamentos|secrets","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-deploy-observavel","Mini-projeto: deploy reproduzível e observável","production-delivery","deploy-backend|spring-profiles|hardening-producao","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"deploy-frontend","Deploy do front-end & monorepo vs poli-repo","production-delivery","deploy-backend|git|cicd|auth-front-ts","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"webclient","WebClient & RestTemplate — consumindo APIs externas","synchronous-integration","http|java-httpclient-json|unreliable-api-client|spring-mvc","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"ddd-estrategico","DDD estratégico, context mapping e integração entre domínios","synchronous-integration","ddd|arquitetura-software|dto-mapping","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"conectando-front-back","Conectando front-end e back-end","synchronous-integration","cors-rate-limit|json|http|frontend-aplicacao|auth-front-ts","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"coupled-services-lab","Do monólito aos serviços síncronos acoplados","synchronous-integration","rest-resource-contracts|webclient|ddd-estrategico","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"resilience","Circuit Breaker com Resilience4j","resilience-observability","coupled-services-lab|webclient|anotacoes","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-aop","Spring AOP — formalizando o dynamic proxy","resilience-observability","anotacoes|spring-security|resilience|jpa-transacoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-cache","Spring Cache Abstraction","resilience-observability","redis|spring-aop|nosql-operacional","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"actuator","Spring Boot Actuator & health checks","resilience-observability","spring-boot-fundamentos|compose|hardening-producao","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"observabilidade-pratica","Observabilidade com logs, métricas, traces e SLOs","resilience-observability","actuator|logging|resilience|coupled-services-lab","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mensageria","Mensageria — conceitos","messaging-eda","coupled-services-lab|http|json","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"in-memory-event-bus","Event Bus em Java puro","messaging-eda","coupled-services-lab|interfaces|generics","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"messaging-model","Messaging: queue, pub/sub, broker e entrega","messaging-eda","in-memory-event-bus","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"aws-sns-sqs","AWS SNS + SQS: fan-out durável","messaging-eda","messaging-model|docker-conceitos","java21-springboot35","structured-typescript","0","0","1","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"delivery-failure-lab","Falhas em EDA: retry, DLQ, redrive e visibility timeout","messaging-eda","aws-sns-sqs","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"eda-observability-security","Observabilidade e segurança em EDA","messaging-eda","delivery-failure-lab|observabilidade-pratica","java21-springboot35","structured-typescript","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"async-integration-tests","Testcontainers e testes assíncronos determinísticos","messaging-eda","testcontainers|aws-sns-sqs|delivery-failure-lab","java21-springboot35","structured-typescript","0","0","1","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
